wbic,elevation,area,elevation_ned,depth_ned,longitude,latitude,perimeter
1131100,477.6559,784.82,480.3866,2.7307,-89.86382,45.81462,110.483
1131200,478.2489,26179.67,478.7591,0.5102,-89.87677,45.80537,633.513
1131300,481.8162,45722.63,485.4433,3.6271,-89.90562,45.8021,893.459
1131350,480.9782,2706.43,480.9782,0,-89.89711,45.8004,196.773
1131500,478.253,615.01,478.253,0,-89.84393,45.79718,91.541
1131600,478.253,138.37,478.253,0,-89.84355,45.79651,45.678
1131700,477.6909,1663.86,477.6909,0,-89.85164,45.79056,154.916
1131800,478.253,543.66,478.253,0,-89.85504,45.79288,101.587
1131900,477.3386,3690.08,477.3513,0.0127,-89.85269,45.78583,277.39
1132100,473.0193,2645.31,473.0418,0.0225,-89.85269,45.76561,212.094
1132200,472.364,281.46,472.9518,0.5878,-89.85032,45.76632,60.877
1132300,477.1816,7695.37,478.9543,1.7727,-89.81526,45.74851,337.216
1132400,484.0453,19141.54,485.4496,1.4043,-89.68255,45.8071,512.982
1132500,484.0603,2625.29,484.9261,0.8658,-89.68869,45.80733,223.295
1132600,479.0361,21586.77,482.2939,3.2578,-89.73463,45.81109,583.96
1132700,481.7101,8517.35,481.7101,0,-89.75592,45.81559,366.003
1132800,483.5472,29150.42,484.9993,1.4521,-89.75512,45.80434,694.223
1132900,482.9308,13245.36,483.1194,0.1886,-89.74074,45.80074,443.333
1133000,479.5676,11736.92,484.9993,5.4317,-89.75324,45.80157,429.875
1133100,487.7029,11468.08,487.7029,0,-89.72637,45.80414,427.585
1133200,483.988,15818.32,485.7162,1.7282,-89.67637,45.79679,477.686
1133300,481.4208,19745.81,491.6461,10.2253,-89.70098,45.77659,630.495
1133400,482.6882,25255.9,488.4201,5.7319,-89.70564,45.78135,659.161
1133500,477.0529,33163.75,479.0198,1.9669,-89.78196,45.7676,752.746
1133600,476.0017,2205.79,479.2079,3.2062,-89.71419,45.77018,191.671
1133700,478.0686,48245.31,483.9883,5.9197,-89.69326,45.76932,1124.791
1133800,475.632,1686.92,477.2302,1.5982,-89.68514,45.75408,163.172
1133900,475.0477,1737.37,475.0477,0,-89.7179,45.75171,221.912
1134000,477.6434,2516.39,478.2339,0.5905,-89.77618,45.76073,202.007
1134100,477.3907,16849.78,477.3907,0,-89.776,45.75503,524.741
1134200,477.9502,23487.57,478.1484,0.1982,-89.79339,45.7601,621.426
1134300,470.4241,2087.42,472.8555,2.4314,-89.72346,45.74621,171.091
1134400,472.1454,7914.66,472.7186,0.5732,-89.72448,45.74338,350.727
1134500,470.5081,6062.34,476.0909,5.5828,-89.71172,45.73556,313.698
1134600,483.1627,12831.12,484.0795,0.9168,-89.62063,45.81055,454.165
1134700,486.1378,891.72,491.7957,5.6579,-89.66228,45.80795,144.977
1134800,483.9696,6663.26,484.6549,0.6853,-89.65419,45.79361,348.191
1134900,483.9545,16417.07,488.596,4.6415,-89.66547,45.79507,510.948
1135000,483.934,19530.16,488.6083,4.6743,-89.67202,45.79116,753.017
1135100,485.6905,2785.25,488.155,2.4645,-89.64945,45.79132,199.006
1135200,489.5968,3994.83,493.3026,3.7058,-89.57437,45.80064,255.356
1135300,487.4446,25137.03,495.4712,8.0266,-89.58303,45.80082,757.499
1135400,486.1407,3135.34,487.7069,1.5662,-89.59637,45.77866,229.121
1135500,485.1397,13342.56,486.0814,0.9417,-89.62147,45.78795,500.939
1135600,484.9564,535.88,486.4967,1.5403,-89.62794,45.77815,88.908
1135700,483.4343,14565.37,490.321,6.8867,-89.6533,45.76199,481.83
1135800,487.1319,5756.75,497.6255,10.4936,-89.63899,45.77171,274.283
1135900,484.1284,6674.83,488.2855,4.1571,-89.64409,45.76518,384.634
1136000,484.2803,1465.32,490.4633,6.183,-89.616,45.77168,141.978
1136100,483.5189,6004.8,490.0054,6.4865,-89.5959,45.76354,310.414
1136200,483.2049,12810.18,490.0054,6.8005,-89.5992,45.7625,420.654
1136300,484.1147,13307.18,490.0054,5.8907,-89.60498,45.76591,472.459
1136400,484.4333,1373.64,484.4333,0,-89.58355,45.77367,135.884
1136500,481.2592,969.67,481.2592,0,-89.55284,45.7693,113.328
1136600,485.0086,3604.25,486.9528,1.9442,-89.59515,45.76039,218.32
1136700,482.7467,62239.93,486.6471,3.9004,-89.5902,45.75688,1081.074
