wbic,depth,wtemp,o2sat,do
1178200,2,20.5,88.2,7.91
1178200,2.5,17.9,88.1,8.4
1178200,3,15,79.1,8.01
1178200,3.5,12.8,52,5.77
1178200,4,11.2,22.1,2.6
1178200,4.5,10.4,13.7,1.45
1178800,0.1,23,88.7,7.62
1178800,1,23,87.5,7.61
1178800,2,21.9,84.7,7.41
1178800,3,17.8,71.2,6.2
1179000,0.1,19.9,79.7,7.26
1179000,1,19.9,77.8,7.02
1179000,2,20,78.2,7.16
1179000,3,20.1,76,6.88
1179000,4,20.1,77.6,7.11
1179000,5,20.1,77.2,7.02
1179000,6,15,12,1.23
1179000,7,12.1,3,0.33
1179000,8,10.1,1.8,0.23
1518500,0.1,19,84.1,7.78
1518900,0.1,13.6,119.7,11.2
1518900,1,9.3,73.3,8.4
1518900,2,8.6,11.5,0.39
1534800,0.1,18,86.7,8.11
1534800,1,18.1,86.2,8.12
1534800,2,18.1,85.8,8.06
1534800,3,18.2,86,8.16
1534800,4,18.1,85,7.98
1534800,5,18,85.7,8.05
1534800,5.5,14.8,24,2.5
1540400,0.1,13.3,92.9,9.72
1540400,1,13.1,92.3,9.71
1540400,2,13,93.5,9.69
1540400,3,13,92.8,9.63
1540400,4,12.9,92.8,9.69
1546000,0.1,18.6,81.5,7.61
1546000,1,18.7,79.8,7.45
1546000,2,18.6,78.9,7.41
1568900,0.1,19.9,95,8.57
1568900,1,19.6,94.8,8.14
1568900,2,19.2,87.4,8.14
1568900,3,18.6,87.2,8.21
1568900,4,14.6,46.5,4.69
1568900,4.5,12.4,4.7,0.53
1569800,0.1,19.3,82,7.65
1569800,0.5,18.7,81.9,7.62
1569800,1,18.1,78.9,7.44
1569800,2,17.7,77.3,7.31
1569800,3,15.6,7.6,0.8
1569800,4,10.8,5.2,0.58
1569800,5,7.5,3.3,0.4
1569800,6,6.4,3,0.37
1569800,7,5.8,2.7,0.34
1569800,8,5.5,2.6,0.32
1580400,0.1,20.9,86.5,7.55
1580400,1,19.9,81.6,7.3
1580400,2,18.9,73.5,6.77
1580400,2.5,18.8,73.2,6.94
1585600,0.1,23.6,83.2,7.07
1585600,0.5,23.6,82.7,7.04
1585600,1,23.5,81.2,6.87
1587600,0.1,21.8,109.5,9.63
1587600,0.5,21.8,108.6,9.43
1587600,1,21.8,107.6,9.48
1587600,1.5,21.8,106.9,9.39
1587600,2,21.8,108,9.75
1591100,0.1,14.2,94.3,9.61
1591100,1,14,94.2,9.64
1591100,2,13.8,93.5,9.71
1591100,3,13.7,93.3,9.69
1591100,4,13.5,94.6,9.76
1591100,5,13.4,94.3,9.72
1591100,6,13.3,93.2,9.7
1591100,7,13.2,92.4,9.57
1591100,8,12.9,86.4,9.04
1591100,8.5,12.9,85.3,8.94
1598000,0.1,19.3,84.6,7.73
1598000,1,19.3,82.6,7.59
1598000,2,19.4,83,7.65
1600000,0.1,22.4,101.4,8.58
1600000,1,22.3,99.1,8.57
1600000,2,21.5,90.8,8.09
1600000,3,19.3,71.5,6.57
1600000,4,17.6,39.2,3.89
1600000,5,16.6,1.9,0.19
1602600,0.1,14.9,91,9.05
1602600,2,14.4,90.5,9.2
1602600,4,13.7,90.4,9.28
1602600,6,13.4,90.4,9.39
1602600,8,13.1,92.1,9.51
1602600,9,12.8,83,8.67
1605600,0.1,19.4,109.2,9.93
1605600,1,19.3,110.4,10.18
1605600,2,19.2,104.6,10.6
1605600,3,18.9,113.5,10.65
1605600,3.5,14.9,106.4,10.76
1605600,4,14.8,109.7,11.13
1605600,5,14.1,107.2,10.99
1605600,6,13.8,51,5
1606400,0.1,20.5,97.4,8.66
1606400,0.5,20.3,99.7,9
1606400,1,19,9.75,103.6
1606400,1.5,17.4,106.5,10.07
1606400,2,14.7,103.7,10.46
1606400,2.5,13.3,86.9,9.01
1606400,3,12,51.2,5.65
1606400,3.5,10.7,13.6,1.69
1606700,0.1,19.1,101.1,9.32
1606700,1,18.9,101.3,9.59
1606700,2,18.6,108.5,10.12
1606700,3,16.6,107.9,10.54
1606700,4,15.6,109.2,10.84
1606700,5,14.9,106.6,10.71
1609900,0.1,19.5,86,8.01
1609900,1,19.6,85.7,7.81
1609900,2,19.7,87.1,7.85
1609900,3,19.7,85.1,7.85
1619100,0.1,19.6,89.8,8.01
1619100,0.5,19.5,88.1,8.06
1619100,1,19.4,88.9,7.89
1619100,1.5,19.4,87.9,8.06
1619100,2,19.4,88.6,7.86
1619100,2.5,19.4,88.6,7.95
1619100,3,19.4,88,8.1
1619100,3.5,19.3,89.4,8.04
1623800,0.1,14.1,101,10.28
1623800,1,13.1,102,10.61
1623800,2,12.8,102.4,10.75
1623800,3,12.5,104.9,11.01
1623800,4,12.4,103,10.86
1623800,5,12.4,105.4,11.07
1623800,6,12.3,104.4,10.98
1623800,7,12.3,106.2,11.22
1623800,8,12.3,106.5,11.23
1623800,10,12.2,103.7,11
1623800,11,12.2,103.1,10.89
1630100,0.1,17.7,94.4,8.84
1630100,1,17.7,93.9,8.98
1630100,2,17.7,94.2,8.97
1630100,4,17.7,98.1,9.15
1630100,6,17.6,95,8.9
1630100,7,17.2,95.1,8.91
1630100,8,14.2,100,9.35
1630100,10,12.1,104,10.96
1630100,12,9.2,84.3,9.79
1630100,14,7.5,67.1,8
1630100,16,6.5,56.2,6.77
1630100,18,6.1,50.2,6.12
1630100,21,5.8,40.9,5.01
1630100,23.5,5.6,11.1,2.21
1631500,0.1,24,93.8,7.71
1631500,2,23.5,89.8,7.61
1631500,3,21,89.5,7.89
1631500,4,19.3,86,7.73
1631700,0.1,23.4,94.7,7.81
1631700,1,23.5,93.1,7.65
1631700,2,23.2,91.9,7.65
1631700,3,18.5,75.7,6.88
1631700,4,15.5,5.5,0.53
1631700,5,11.3,3.2,0.35
1631700,6,8.7,2.5,0.29
1631700,7,7.7,1.2,0.15
1631700,8,6.8,1,0.13
1832500,0.1,22.7,71.1,6.24
1832500,1,20.2,34.9,3.15
1832500,2,18,4.5,0.44
1834600,0.1,24.7,94.9,7.86
1834600,0.5,24,90.1,7.55
1834600,1,21.8,93.6,6.91
1834600,1.5,20,78.4,7.07
1834600,2,18,66.8,6.24
1842500,0.1,14.8,108.5,10.77
1842500,1,14.2,110.2,11.05
1842500,2,14.1,109.7,11.02
1842500,3,13.1,108.6,11.26
1842500,4,12.9,113.1,11.6
1842500,5,12.4,115,11.94
1842500,6,10.6,121.5,13.3
1842500,7,8.6,122.2,13.98
1842500,8,7.6,120.6,14.14
1842500,9,7,120.8,14.35
1842500,10,6.5,119.1,14.35
1842500,11,6,117.6,14.38
1842500,12,5.8,113.6,13.82
1842500,13,5.6,106.6,13.05
1842500,14,5.5,100.6,12.46
1842500,15,5.4,100,12.28
1842500,16,5.4,93.9,11.8
1842500,17,5.3,90.1,11.23
1843700,0.1,24,83.5,7.02
1843700,1,23.6,79.2,6.86
1843700,2,23,82.1,7.09
1843700,3,21.1,43.8,3.88
