lake,sampledate,depth,rep,dic,doc,tic,toc,alk,ph,color440,color280,color253,cond,secchi,totpuf,totnuf,drsi,ca,k,mg,na,fe,cl,so4
"Wildcat",1999-08-23,9,1,,,,,,7.230,,,,256,,27,1324,9847,,,,,,,
"Wolf",1998-08-25,1,1,15.62,4.92,16.74,4.97,,,,,,134,1.00,45,478,7855,18.65,0.90,4.23,1.71,0.05,,
"Ike Walton",1998-05-29,1,1,0.66,5.13,0.90,5.01,7.29,5.840,0.041,0.500,0.707,,,7,228,22,1.10,0.30,0.39,0.34,0.02,0.55,3.52
"Statenaker",1998-08-21,1,1,,,,,,8.190,,,,62,4.20,4,213,641,7.40,0.65,2.26,1.25,0.00,,
"Big Gibson",1998-05-28,1,1,2.64,6.78,2.66,6.89,181.83,7.260,0.105,1.005,1.391,24,2.10,,,506,2.87,0.37,0.81,0.57,0.06,0.30,1.72
"Partridge",1998-07-31,1,1,,,,,,9.220,0.044,0.550,0.764,75,2.80,14,164,8383,9.71,0.04,2.86,1.06,0.30,0.43,3.34
"Allequash",1998-06-16,7,1,,,,,,6.970,,,,,,35,491,8666,,,,,0.32,,
"Allequash",1998-07-12,0,1,10.34,4.55,10.69,4.07,,8.850,,,,,,10,289,5985,,,,,0.02,,
"Allequash",1998-08-07,0,1,10.09,4.65,10.37,5.00,851.00,8.880,0.063,0.856,1.168,95,,14,421,6272,,,,,,,
"Arrowhead",1998-09-06,1,1,,,,,,,,,,,,2,221,2243,,,,,,,
"Arrowhead",1999-06-11,1,1,,,,,,8.613,0.046,0.379,0.533,,3.40,19,712,2196,,,,,,,
"Arrowhead",1999-06-11,1,2,,,,,,8.481,,,,,,,,,,,,,,,
"Arrowhead",1999-06-11,"NEAR BOTTOM",1,,,,,,6.694,,,,,,85,1326,4527,,,,,,,
"Arrowhead",1999-06-11,"NEAR BOTTOM",2,,,,,,6.691,,,,,,,,,,,,,,,
"Arrowhead",1999-07-09,"NEAR BOTTOM",1,,,,,,6.630,,,,,,76,1673,4495,10.78,0.70,2.57,6.52,,,
"Arrowhead",1999-08-24,1,1,7.73,,8.01,4.36,,7.998,,,,105,4.20,12,347,1835,,,,,,10.68,2.95
"Arrowhead",2000-07-05,1,1,7.49,4.82,7.68,4.36,,,,,,,,14,429,,,,,,,,
"Beaver",1998-06-05,4,1,,,,,,7.160,,,,,,22,418,1269,9.98,0.75,2.76,1.07,0.45,,
"Beaver",1998-08-05,1,1,,,,,,8.970,,,,85,1.25,15,610,1159,11.35,0.59,3.38,1.10,0.14,,
"Beaver",1998-08-05,3,1,,,,,,6.860,,,,,,34,721,1793,11.66,0.74,3.41,1.12,0.35,,
"Beaver",1998-08-31,1,1,,,,,,8.540,,,,87,0.97,22,836,1765,12.57,0.67,3.38,1.27,0.27,,
"Beaver",1998-08-31,2,1,,,,,,6.910,,,,,,31,737,2096,13.52,0.71,3.40,1.26,0.28,,
"Big",1999-06-10,"NEAR BOTTOM",1,,,,,,7.050,,,,,,17,1172,6071,,,,,,,
"Big",1999-07-08,1,1,,,,,1097.57,8.340,,,,122,3.35,8,183,3509,17.76,0.80,4.30,1.71,,,
"Big",1999-08-20,17,1,,,,,,7.001,,,,114,,128,1617,7647,,,,,,,
