PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	MACKIN, JE				MACKIN, JE			THE FREE-SOLUTION DIFFUSION-COEFFICIENT OF BORON - INFLUENCE OF DISSOLVED ORGANIC-MATTER	MARINE CHEMISTRY																													0304-4203					NOV	1986	20	2					131	140		10.1016/0304-4203(86)90035-6						WOS:A1986F063900002		
J	GLAZIER, RM				GLAZIER, RM			THE EFFECT OF DISSOLVED ORGANIC-MATTER UPON POTENTIAL RADIONUCLIDE SOLUBILITY IN CRYSTALLINE ROCK GROUNDWATER	ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY																													0065-7727					SEP 7	1986	192						125	GEOC								WOS:A1986F867901130		
J	FINLAYSON, B				FINLAYSON, B			DETERMINATION OF DISSOLVED ORGANIC-MATTER IN STREAMWATER USING VISIBLE SPECTROPHOTOMETRY - A COMMENT	EARTH SURFACE PROCESSES AND LANDFORMS																													0197-9337					JUL-AUG	1986	11	4					457	459		10.1002/esp.3290110411						WOS:A1986D438100010		
J	GRIEVE, I				GRIEVE, I			DETERMINATION OF DISSOLVED ORGANIC-MATTER IN STREAMWATER USING VISIBLE SPECTROPHOTOMETRY - A REPLY	EARTH SURFACE PROCESSES AND LANDFORMS																													0197-9337					JUL-AUG	1986	11	4					461	462		10.1002/esp.3290110412						WOS:A1986D438100011		
J	OREM, WH; HATCHER, PG; SPIKER, EC; SZEVERENYI, NM; MACIEL, GE				OREM, WH; HATCHER, PG; SPIKER, EC; SZEVERENYI, NM; MACIEL, GE			DISSOLVED ORGANIC-MATTER IN ANOXIC PORE WATERS FROM MANGROVE LAKE, BERMUDA	GEOCHIMICA ET COSMOCHIMICA ACTA																													0016-7037					APR	1986	50	4					609	618		10.1016/0016-7037(86)90109-2						WOS:A1986A922600011		
J	CABANISS, SE; SHUMAN, MS				CABANISS, SE; SHUMAN, MS			COMBINED ION-SELECTIVE ELECTRODE AND FLUORESCENCE QUENCHING DETECTION FOR COPPER-DISSOLVED ORGANIC-MATTER TITRATIONS	ANALYTICAL CHEMISTRY																													0003-2700					FEB	1986	58	2					398	401		10.1021/ac00293a030						WOS:A1986AYK5500033		
J	MOREHEAD, NR; EADIE, BJ; LAKE, B; LANDRUM, PF; BERNER, D				MOREHEAD, NR; EADIE, BJ; LAKE, B; LANDRUM, PF; BERNER, D			THE SORPTION OF PAH ONTO DISSOLVED ORGANIC-MATTER IN LAKE-MICHIGAN WATERS	CHEMOSPHERE																	Morehead, Nancy/0000-0003-3859-3035												0045-6535						1986	15	4					403	412		10.1016/0045-6535(86)90534-5						WOS:A1986A902800003		
J	SALONEN, K; HAMMAR, T				SALONEN, K; HAMMAR, T			ON THE IMPORTANCE OF DISSOLVED ORGANIC-MATTER IN THE NUTRITION OF ZOOPLANKTON IN SOME LAKE WATERS	OECOLOGIA																													0029-8549						1986	68	2					246	253		10.1007/BF00384795						WOS:A1986AXX1300014		
J	QUENTEL, F; MADEC, C; COURTOTCOUPEZ, J				QUENTEL, F; MADEC, C; COURTOTCOUPEZ, J			INFLUENCE OF DISSOLVED ORGANIC-MATTER ON THE LEAD DETERMINATION IN SEAWATER BY ANODIC-STRIPPING VOLTAMMETRY	WATER RESEARCH																													0043-1354						1986	20	3					325	333		10.1016/0043-1354(86)90080-1						WOS:A1986A014000010		
J	JARRET, M; CAVELIER, C; DUCAUZE, C				JARRET, M; CAVELIER, C; DUCAUZE, C			CHARACTERIZATION OF DISSOLVED ORGANIC-MATTER IN SURFACE WATERS THROUGH POLISHING TREATMENT - INFLUENCE OF APPLIED TREATMENTS AND CLIMATE	WATER RESEARCH																													0043-1354						1986	20	12					1477	1488		10.1016/0043-1354(86)90110-7						WOS:A1986F518000003		
J	KOUASSI, M; ZIKA, RG				KOUASSI, M; ZIKA, RG			LIGHT-INDUCED ALTERATION OF THE PHOTOPHYSICAL PROPERTIES OF DISSOLVED ORGANIC-MATTER IN SEAWATER	ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY																													0065-7727						1985	189	APR-					49	GEOC								WOS:A1985APH0101204		
J	SPITZER, D; DIRKS, RWJ				SPITZER, D; DIRKS, RWJ			CONTAMINATION OF THE REFLECTANCE OF NATURAL-WATERS BY SOLAR-INDUCED FLUORESCENCE OF DISSOLVED ORGANIC-MATTER	APPLIED OPTICS																													0003-6935						1985	24	4					444	445								WOS:A1985ABR8900001	18216966	
J	GRIEVE, IC				GRIEVE, IC			DETERMINATION OF DISSOLVED ORGANIC-MATTER IN STREAMWATER USING VISIBLE SPECTROPHOTOMETRY	EARTH SURFACE PROCESSES AND LANDFORMS																													0197-9337						1985	10	1					75	78		10.1002/esp.3290100110						WOS:A1985AAW4400008		
J	LANDRUM, PF; REINHOLD, MD; NIHART, SR; EADIE, BJ				LANDRUM, PF; REINHOLD, MD; NIHART, SR; EADIE, BJ			PREDICTING THE BIOAVAILABILITY OF ORGANIC XENOBIOTICS TO PONTOPOREIA-HOYI IN THE PRESENCE OF HUMIC AND FULVIC MATERIALS AND NATURAL DISSOLVED ORGANIC-MATTER	ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY																													0730-7268						1985	4	4					459	467		10.1897/1552-8618(1985)4[459:PTBOOX]2.0.CO;2						WOS:A1985ANW2500006		
J	WHITEHOUSE, B				WHITEHOUSE, B			THE EFFECTS OF DISSOLVED ORGANIC-MATTER ON THE AQUEOUS PARTITIONING OF POLYNUCLEAR AROMATIC-HYDROCARBONS	ESTUARINE COASTAL AND SHELF SCIENCE																													0272-7714						1985	20	4					393	402		10.1016/0272-7714(85)90084-8						WOS:A1985AJF2600003		
J	KAPLAN, LA; BOTT, TL				KAPLAN, LA; BOTT, TL			ACCLIMATION OF STREAM-BED HETEROTROPHIC MICROFLORA - METABOLIC RESPONSES TO DISSOLVED ORGANIC-MATTER	FRESHWATER BIOLOGY																													0046-5070						1985	15	4					479	492		10.1111/j.1365-2427.1985.tb00218.x						WOS:A1985APM2900007		
J	SMITH, EH; WEBER, WJ				SMITH, EH; WEBER, WJ			THE EFFECTS OF DISSOLVED ORGANIC-MATTER ON THE ADSORPTION CAPACITY OF ORGANIC-COMPOUNDS ON ACTIVATED CARBON	JOURNAL AMERICAN WATER WORKS ASSOCIATION																													0003-150X						1985	77	4					62	62								WOS:A1985AFX8500059		
J	HAYASE, K; SHITASHIMA, K; TSUBOTA, H				HAYASE, K; SHITASHIMA, K; TSUBOTA, H			APPLICATION OF REVERSED-PHASE LIQUID-CHROMATOGRAPHY TO DISSOLVED ORGANIC-MATTER IN ESTUARINE SEAWATER	JOURNAL OF CHROMATOGRAPHY																													0021-9673						1985	322	2					358	362		10.1016/S0021-9673(01)97696-4						WOS:A1985AGB3100010		
J	CARLSON, DJ; MAYER, LM; BRANN, ML; MAGUE, TH				CARLSON, DJ; MAYER, LM; BRANN, ML; MAGUE, TH			BINDING OF MONOMERIC ORGANIC-COMPOUNDS TO MACROMOLECULAR DISSOLVED ORGANIC-MATTER IN SEAWATER	MARINE CHEMISTRY																Mayer, Lawrence/A-1337-2009													0304-4203						1985	16	2					141	153		10.1016/0304-4203(85)90019-2						WOS:A1985AJV3000004		
J	TAYLOR, GT; ITURRIAGA, R; SULLIVAN, CW				TAYLOR, GT; ITURRIAGA, R; SULLIVAN, CW			INTERACTIONS OF BACTIVOROUS GRAZERS AND HETEROTROPHIC BACTERIA WITH DISSOLVED ORGANIC-MATTER	MARINE ECOLOGY PROGRESS SERIES																Taylor, Gordon/A-6735-2009	Taylor, Gordon/0000-0002-6925-7571												0171-8630						1985	23	2					129	141		10.3354/meps023129						WOS:A1985AJF2300003		
J	SMIRNOV, MB; BORDOVSKY, OK				SMIRNOV, MB; BORDOVSKY, OK			ELEMENT COMPOSITION OF CHLOROFORM EXTRACTS OF DISSOLVED ORGANIC-MATTER IN THE NORTH PART OF THE INDIAN-OCEAN	OKEANOLOGIYA																													0030-1574						1985	25	1					74	79								WOS:A1985ABZ3800011		
J	SMIRNOV, MB; BORDOVSKY, OK				SMIRNOV, MB; BORDOVSKY, OK			STRUCTURAL AND GROUP COMPOSITION OF CHLOROFORM EXTRACTS OF DISSOLVED ORGANIC-MATTER IN WATERS OF THE NORTHWESTERN PART OF THE INDIAN-OCEAN	OKEANOLOGIYA																													0030-1574						1985	25	4					597	601								WOS:A1985ARB2800009		
J	MUKAI, T; TAKIMOTO, K; SHIBATA, T; ABE, H				MUKAI, T; TAKIMOTO, K; SHIBATA, T; ABE, H			SIMULATION STUDY OF EUTROPHICATION IN HIROSHIMA BAY - SIMULATION OF PARTICULATE AND DISSOLVED ORGANIC-MATTER USING CYCLIC TRANSFORMATION OF CARBON	WATER RESEARCH																													0043-1354						1985	19	4					511	525		10.1016/0043-1354(85)90044-2						WOS:A1985AEZ3000015		
J	HASSETT, JP; MILICIC, E; JOTA, MAT				HASSETT, JP; MILICIC, E; JOTA, MAT			EQUILIBRIUM AND KINETIC-STUDIES OF BINDING OF A PCB COMPOUND BY DISSOLVED ORGANIC-MATTER	ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY																													0065-7727						1984	188	AUG					86	ENVR								WOS:A1984ABA4001088		
J	LORD, A; PECHENIK, JA				LORD, A; PECHENIK, JA			UPTAKE AND USE OF DISSOLVED ORGANIC-MATTER BY LARVAE OF CREPIDULA-FORNICATA	AMERICAN ZOOLOGIST																													0003-1569						1984	24	3					A44	A44								WOS:A1984TU32200197		
J	MCMAHON, RF; REID, RGB				MCMAHON, RF; REID, RGB			RESPIRATORY RESPONSES OF THE GUTLESS BIVALVE, SOLEMYA-REIDI, TO TEMPERATURE, HYPOXIA, HS-, AND DISSOLVED ORGANIC-MATTER	AMERICAN ZOOLOGIST																													0003-1569						1984	24	3					A136	A136								WOS:A1984TU32200563		
J	MURRAY, RE; HODSON, RE				MURRAY, RE; HODSON, RE			MICROBIAL BIOMASS AND UTILIZATION OF DISSOLVED ORGANIC-MATTER IN THE OKEFENOKEE SWAMP ECOSYSTEM	APPLIED AND ENVIRONMENTAL MICROBIOLOGY																													0099-2240						1984	47	4					685	692								WOS:A1984SL52400018	16346508	
J	SCHRAMM, W; GUALBERTO, E; OROSCO, C				SCHRAMM, W; GUALBERTO, E; OROSCO, C			RELEASE OF DISSOLVED ORGANIC-MATTER FROM MARINE TROPICAL REEF PLANTS - TEMPERATURE AND DESICCATION EFFECTS	BOTANICA MARINA																													0006-8055						1984	27	2					71	77		10.1515/botm.1984.27.2.71						WOS:A1984SG22600004		
J	DURGIN, PB; CHANEY, JG				DURGIN, PB; CHANEY, JG			DISPERSION OF KAOLINITE BY DISSOLVED ORGANIC-MATTER FROM DOUGLAS-FIR ROOTS	CANADIAN JOURNAL OF SOIL SCIENCE																													0008-4271						1984	64	3					445	455								WOS:A1984TL63400014		
J	GRIEVE, IC				GRIEVE, IC			RELATIONSHIPS AMONG DISSOLVED ORGANIC-MATTER, IRON, AND DISCHARGE IN A MOORLAND STREAM	EARTH SURFACE PROCESSES AND LANDFORMS																													0197-9337						1984	9	1					35	41		10.1002/esp.3290090105						WOS:A1984SC91800004		
J	GRIEVE, IC				GRIEVE, IC			CONCENTRATIONS AND ANNUAL LOADING OF DISSOLVED ORGANIC-MATTER IN A SMALL MOORLAND STREAM	FRESHWATER BIOLOGY																													0046-5070						1984	14	5					533	537		10.1111/j.1365-2427.1984.tb00173.x						WOS:A1984TL60300006		
J	SINSABAUGH, RL; HOEHN, RC				SINSABAUGH, RL; HOEHN, RC			EFFECTS OF COAGULATION ON THE MOLECULAR-SIZE DISTRIBUTION OF DISSOLVED ORGANIC-MATTER AND FORMATION KINETICS OF ORGANIC HALOGEN COMPOUNDS	JOURNAL AMERICAN WATER WORKS ASSOCIATION																													0003-150X						1984	76	4					59	59								WOS:A1984SM55000029		
J	KISHINO, M; BOOTH, CR; OKAMI, N				KISHINO, M; BOOTH, CR; OKAMI, N			UNDERWATER RADIANT ENERGY ABSORBED BY PHYTOPLANKTON, DETRITUS, DISSOLVED ORGANIC-MATTER, AND PURE WATER	LIMNOLOGY AND OCEANOGRAPHY																													0024-3590						1984	29	2					340	349								WOS:A1984SL26300010		
J	WAFAR, M; BIRRIEN, JL				WAFAR, M; BIRRIEN, JL			SEASONAL-CHANGES OF DISSOLVED ORGANIC-MATTER (C, N, P) IN PERMANENTLY WELL MIXED TEMPERATE WATERS	LIMNOLOGY AND OCEANOGRAPHY																													0024-3590						1984	29	5					1127	1132								WOS:A1984TM04300024		
J	AMOUROUX, JM				AMOUROUX, JM			PRELIMINARY-STUDY ON THE CONSUMPTION OF DISSOLVED ORGANIC-MATTER (EXUDATES) OF BACTERIA AND PHYTOPLANKTON BY THE MARINE BIVALVE VENUS-VERRUCOSA	MARINE BIOLOGY																													0025-3162						1984	82	2					109	112		10.1007/BF00394094						WOS:A1984TJ21700001		
J	BEHAIRY, AKA; ELSAYED, MM				BEHAIRY, AKA; ELSAYED, MM			DISSOLVED ORGANIC-MATTER IN COASTAL WATERS AT JEDDAH, SAUDI-ARABIA	MARINE POLLUTION BULLETIN																													0025-326X	1879-3363					1984	15	3					113	116		10.1016/0025-326X(84)90448-X						WOS:A1984SL17800007		
J	BOTT, TL; KAPLAN, LA; KUSERK, FT				BOTT, TL; KAPLAN, LA; KUSERK, FT			BENTHIC BACTERIAL BIOMASS SUPPORTED BY STREAMWATER DISSOLVED ORGANIC-MATTER	MICROBIAL ECOLOGY																													0095-3628						1984	10	4					335	344		10.1007/BF02015558						WOS:A1984TZ25400004	24221176	
J	LEJEHAN, S; TREGUER, P				LEJEHAN, S; TREGUER, P			ORGANIC-MATTER IN ESTUARIES - SEASONAL EVOLUTION OF DISSOLVED ORGANIC-MATTER IN AN EUTROPHIC ECOSYSTEM OF WESTERN-EUROPE (BAY OF BREST)	OCEANOLOGICA ACTA																Treguer, Paul/H-6064-2012													0399-1784						1984	7	2					181	190								WOS:A1984SV99100006		
J	KARABASHEV, GS; AGATOVA, AI				KARABASHEV, GS; AGATOVA, AI			RELATIONSHIP BETWEEN FLUORESCENCE INTENSITY AND CONCENTRATION OF DISSOLVED ORGANIC-MATTER IN THE OCEAN	OKEANOLOGIYA																													0030-1574						1984	24	6					906	909								WOS:A1984TZ19100007		
J	COLCLOUGH, JH; BROWN, AC				COLCLOUGH, JH; BROWN, AC			UPTAKE OF DISSOLVED ORGANIC-MATTER BY A MARINE WHELK	TRANSACTIONS OF THE ROYAL SOCIETY OF SOUTH AFRICA																													0035-919X						1984	45		2				169	176								WOS:A1984TR23000004		
J	WONG, GTF; OATTS, TJ				WONG, GTF; OATTS, TJ			DISSOLVED ORGANIC-MATTER AND THE DISSIPATION OF CHLORINE IN ESTUARINE WATER AND SEAWATER	WATER RESEARCH																													0043-1354						1984	18	4					501	504		10.1016/0043-1354(84)90160-X						WOS:A1984SJ83200016		
J	SCHNEIDER, JK; GLOOR, R; GIGER, W; SCHWARZENBACH, RP				SCHNEIDER, JK; GLOOR, R; GIGER, W; SCHWARZENBACH, RP			ANALYTICAL FRACTIONATION OF DISSOLVED ORGANIC-MATTER IN WATER USING ONLINE CARBON DETECTION	WATER RESEARCH																													0043-1354						1984	18	12					1515	1522		10.1016/0043-1354(84)90126-X						WOS:A1984TY72500007		
J	DAVIS, JA				DAVIS, JA			ADSORPTION OF NATURAL DISSOLVED ORGANIC-MATTER BY SURFACE COMPLEX-FORMATION	ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY																													0065-7727						1983	186	AUG					66	ENVR								WOS:A1983RV10501217		
J	HASEGAWA, T; KOBAYASHI, T				HASEGAWA, T; KOBAYASHI, T			A FLUOROMETRIC-DETERMINATION METHOD FOR DISSOLVED ORGANIC-MATTER IN THE EUTROPHIC HACHIROGATA RESIDUAL LAKE	AGRICULTURAL AND BIOLOGICAL CHEMISTRY																													0002-1369						1983	47	5					1121	1122								WOS:A1983QR96400030		
J	TUSCHALL, JR; BREZONIK, PL				TUSCHALL, JR; BREZONIK, PL			APPLICATION OF CONTINUOUS-FLOW ULTRAFILTRATION AND COMPETING LIGAND DIFFERENTIAL SPECTROPHOTOMETRY FOR MEASUREMENT OF HEAVY-METAL COMPLEXATION BY DISSOLVED ORGANIC-MATTER	ANALYTICA CHIMICA ACTA																													0003-2670						1983	149	MAY					47	58		10.1016/S0003-2670(00)83160-8						WOS:A1983QP79500006		
J	HAMA, T; HANDA, N				HAMA, T; HANDA, N			THE SEASONAL-VARIATION OF ORGANIC-CONSTITUENTS IN A EUTROPHIC LAKE, LAKE SUWA, JAPAN .2. DISSOLVED ORGANIC-MATTER	ARCHIV FUR HYDROBIOLOGIE																													0003-9136						1983	98	4					443	462								WOS:A1983RU11500003		
J	SEIDEL, A; TZSCHEUTSCHLER, E; RADEKE, KH; GELBIN, D				SEIDEL, A; TZSCHEUTSCHLER, E; RADEKE, KH; GELBIN, D			ADSORPTION EQUILIBRIA IN WATER OF DISSOLVED ORGANIC-MATTER ON ACTIVATED-CHARCOAL	CHEMISCHE TECHNIK																													0045-6519						1983	35	11					605	605								WOS:A1983RT24700091		
J	KAPLAN, LA; BOTT, TL				KAPLAN, LA; BOTT, TL			MICROBIAL HETEROTROPHIC UTILIZATION OF DISSOLVED ORGANIC-MATTER IN A PIEDMONT STREAM	FRESHWATER BIOLOGY																													0046-5070						1983	13	4					363	377		10.1111/j.1365-2427.1983.tb00686.x						WOS:A1983RD37800005		
J	HOYER, O				HOYER, O			CHARACTERIZATION OF DISSOLVED ORGANIC-MATTER IN WATER BY ULTRAFILTRATION AND 3-STAGE DIAFILTRATION	ZEITSCHRIFT FUR WASSER UND ABWASSER FORSCHUNG-JOURNAL FOR WATER AND WASTEWATER RESEARCH																													0044-3727						1983	16	6					191	198								WOS:A1983SC57100001		
J	SIGLEO, AC; WIJAYARATNE, R; MEANS, JC				SIGLEO, AC; WIJAYARATNE, R; MEANS, JC			COMPOSITION OF ESTUARINE DISSOLVED ORGANIC-MATTER - A MASS BALANCE	ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY																Means, Jay/I-6149-2012	Means, Jay/0000-0003-2664-9396												0065-7727						1982	184	SEP					45	GEOC								WOS:A1982QG97900996		
J	SOUTHWARD, AJ; SOUTHWARD, EC				SOUTHWARD, AJ; SOUTHWARD, EC			THE ROLE OF DISSOLVED ORGANIC-MATTER IN THE NUTRITION OF DEEP-SEA BENTHOS	AMERICAN ZOOLOGIST																Martinez-Vicente, Victor/F-5131-2010	Martinez-Vicente, Victor/0000-0003-3492-583X												0003-1569						1982	22	3					647	659								WOS:A1982PG39200014		
J	SIEBERS, D				SIEBERS, D			BACTERIAL-INVERTEBRATE INTERACTIONS IN UPTAKE OF DISSOLVED ORGANIC-MATTER	AMERICAN ZOOLOGIST																													0003-1569						1982	22	3					723	733								WOS:A1982PG39200020		
J	PHLEGER, CF; ROSSI, SS				PHLEGER, CF; ROSSI, SS			DISSOLVED ORGANIC-MATTER ACCUMULATION BY JUVENILES OF THE PURPLE-HINGE ROCK SCALLOP, HINNITES-MULTIRUGOSUS GALE	COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-PHYSIOLOGY																													0300-9629						1982	71	3					453	456		10.1016/0300-9629(82)90433-9						WOS:A1982NF54700016		
J	MARTICH, VE; MAMCHENKO, AV; YAKIMOVA, TI; KOGANOVSKY, AM				MARTICH, VE; MAMCHENKO, AV; YAKIMOVA, TI; KOGANOVSKY, AM			CHANGES IN SELECTIVE ADSORPTION OF WATER-DISSOLVED ORGANIC-MATTER IN CARBONIC ADSORBENT MICROPORES	DOPOVIDI AKADEMII NAUK UKRAINSKOI RSR SERIYA B-GEOLOGICHNI KHIMICHNI TA BIOLOGICHNI NAUKI																													0002-3523						1982		3					36	38								WOS:A1982NJ63400011		
J	FOSTER, IDL; GRIEVE, IC				FOSTER, IDL; GRIEVE, IC			SHORT-TERM FLUCTUATIONS IN DISSOLVED ORGANIC-MATTER CONCENTRATIONS IN STREAMFLOW DRAINING A FORESTED WATERSHED AND THEIR RELATION TO THE CATCHMENT BUDGET	EARTH SURFACE PROCESSES AND LANDFORMS																													0197-9337						1982	7	5					417	425		10.1002/esp.3290070503						WOS:A1982PH66900002		
J	BURBA, P; WILLMER, PG				BURBA, P; WILLMER, PG			UV-PHOTOLYSIS OF DISSOLVED ORGANIC-MATTER AS SAMPLE PRETREATMENT FOR THE ANALYTICAL MULTIELEMENT-ENRICHMENT, ESPECIALLY ON CHELATING ION-EXCHANGERS	FRESENIUS ZEITSCHRIFT FUR ANALYTISCHE CHEMIE																													0016-1152						1982	311	3					222	231		10.1007/BF00476652						WOS:A1982NJ86600011		
J	DAVIS, JA				DAVIS, JA			ADSORPTION OF NATURAL DISSOLVED ORGANIC-MATTER AT THE OXIDE WATER INTERFACE	GEOCHIMICA ET COSMOCHIMICA ACTA																													0016-7037						1982	46	11					2381	2393		10.1016/0016-7037(82)90209-5						WOS:A1982PR63000028		
J	ITTEKKOT, V				ITTEKKOT, V			VARIATIONS OF DISSOLVED ORGANIC-MATTER DURING A PLANKTON BLOOM - QUALITATIVE ASPECTS, BASED ON SUGAR AND AMINO-ACID ANALYSES	MARINE CHEMISTRY																													0304-4203						1982	11	2					143	158		10.1016/0304-4203(82)90038-X						WOS:A1982NK01200003		
J	LAANE, RWPM				LAANE, RWPM			INFLUENCE OF PH ON THE FLUORESCENCE OF DISSOLVED ORGANIC-MATTER	MARINE CHEMISTRY																													0304-4203						1982	11	4					395	401		10.1016/0304-4203(82)90033-0						WOS:A1982PB35100007		
J	GALKINA, VN				GALKINA, VN			METABOLITES OF MUSSELS (MYTILUS-EDULIS) IN THE COMPOSITION OF DISSOLVED ORGANIC-MATTER OF SEA-WATER	OKEANOLOGIYA																													0030-1574						1982	22	1					125	130								WOS:A1982NB61700020		
J	VIEIRA, AAH				VIEIRA, AAH			EXCRETION OF DISSOLVED ORGANIC-MATTER (DOM) IN THE PHOTIC COLUMN BY MARINE PHYTOPLANKTONIC POPULATION FROM UBATUBA REGION	REVISTA DE MICROBIOLOGIA																Vieira, Armando/I-3894-2013													0001-3714						1982	13	1					83	94								WOS:A1982NT69400015		
J	VIEIRA, AAH; TEIXEIRA, C				VIEIRA, AAH; TEIXEIRA, C			EXCRETION OF DISSOLVED ORGANIC-MATTER BY NATURAL-POPULATIONS OF MARINE-PHYTOPLANKTON AT DIFFERENT TIME LENGTHS DURING THE PHOTOPERIOD	REVISTA DE MICROBIOLOGIA																Vieira, Armando/I-3894-2013													0001-3714						1982	13	3					206	210								WOS:A1982PV04100002		
J	HASSETT, JP; ANDERSON, MA				HASSETT, JP; ANDERSON, MA			EFFECTS OF DISSOLVED ORGANIC-MATTER ON ADSORPTION OF HYDROPHOBIC ORGANIC-COMPOUNDS BY RIVER-BORNE AND SEWAGE-BORNE PARTICLES	WATER RESEARCH																Anderson, Marc/I-2437-2015													0043-1354						1982	16	5					681	686		10.1016/0043-1354(82)90091-4						WOS:A1982NN80700024		
J	BOVENDEUR, J; VANBUUREN, JCL; JACOBS, JA				BOVENDEUR, J; VANBUUREN, JCL; JACOBS, JA			MOBILIZATION OF COPPER FROM MODIFIED PEAT BY DISSOLVED ORGANIC-MATTER IN NATURAL-WATERS AND BIOLOGICALLY PURIFIED WASTEWATERS	ZEITSCHRIFT FUR WASSER UND ABWASSER FORSCHUNG-JOURNAL FOR WATER AND WASTEWATER RESEARCH																													0044-3727						1982	15	4					181	186								WOS:A1982PF43300003		
J	CRERAR, DA; MEANS, JL; YURETICH, RF; BORCSIK, MP; AMSTER, JL; HASTINGS, DW; KNOX, GW; LYON, KE; QUIETT, RF				CRERAR, DA; MEANS, JL; YURETICH, RF; BORCSIK, MP; AMSTER, JL; HASTINGS, DW; KNOX, GW; LYON, KE; QUIETT, RF			HYDROGEOCHEMISTRY OF THE NEW-JERSEY COASTAL-PLAIN .2. TRANSPORT AND DEPOSITION OF IRON, ALUMINUM, DISSOLVED ORGANIC-MATTER, AND SELECTED TRACE-ELEMENTS IN STREAM, GROUNDWATER AND ESTUARY WATER	CHEMICAL GEOLOGY																													0009-2541						1981	33	1-2					23	44		10.1016/0009-2541(81)90083-8						WOS:A1981MD61100002		
J	WALLIS, PM; HYNES, HBN; TELANG, SA				WALLIS, PM; HYNES, HBN; TELANG, SA			THE IMPORTANCE OF GROUNDWATER IN THE TRANSPORTATION OF ALLOCHTHONOUS DISSOLVED ORGANIC-MATTER TO THE STREAMS DRAINING A SMALL MOUNTAIN BASIN	HYDROBIOLOGIA																													0018-8158						1981	79	1					77	90		10.1007/BF00005821						WOS:A1981LK41600007		
J	MANNY, BA; OTSUKI, A				MANNY, BA; OTSUKI, A			LOSS OF NITROGENOUS DISSOLVED ORGANIC-MATTER FROM SMALL LAKES	JOURNAL OF FRESHWATER ECOLOGY																													0270-5060						1981	1	2					193	202		10.1080/02705060.1981.9664031						WOS:A1981MQ05000007		
J	BRICAUD, A; MOREL, A; PRIEUR, L				BRICAUD, A; MOREL, A; PRIEUR, L			ABSORPTION BY DISSOLVED ORGANIC-MATTER OF THE SEA (YELLOW SUBSTANCE) IN THE UV AND VISIBLE DOMAINS	LIMNOLOGY AND OCEANOGRAPHY																													0024-3590						1981	26	1					43	53								WOS:A1981LF25600003		
J	PRIEUR, L; SATHYENDRANATH, S				PRIEUR, L; SATHYENDRANATH, S			AN OPTICAL CLASSIFICATION OF COASTAL AND OCEANIC WATERS BASED ON THE SPECIFIC SPECTRAL ABSORPTION CURVES OF PHYTOPLANKTON PIGMENTS, DISSOLVED ORGANIC-MATTER, AND OTHER PARTICULATE MATERIALS	LIMNOLOGY AND OCEANOGRAPHY																													0024-3590						1981	26	4					671	689								WOS:A1981MB81000007		
J	SELLNER, KG				SELLNER, KG			PRIMARY PRODUCTIVITY AND THE FLUX OF DISSOLVED ORGANIC-MATTER IN SEVERAL MARINE ENVIRONMENTS	MARINE BIOLOGY																													0025-3162						1981	65	1					101	112		10.1007/BF00397073						WOS:A1981MS88300013		
J	HODSON, RE; AZAM, F; CARLUCCI, AF; FUHRMAN, JA; KARL, DM; HOLMHANSEN, O				HODSON, RE; AZAM, F; CARLUCCI, AF; FUHRMAN, JA; KARL, DM; HOLMHANSEN, O			MICROBIAL UPTAKE OF DISSOLVED ORGANIC-MATTER IN MCMURDO-SOUND, ANTARCTICA	MARINE BIOLOGY																Azam, Farooq/A-2306-2012; Fuhrman, Jed/C-6461-2013													0025-3162						1981	61	2-3					89	94		10.1007/BF00386648						WOS:A1981LD95400001		
J	MILLS, GL; QUINN, JG				MILLS, GL; QUINN, JG			ISOLATION OF DISSOLVED ORGANIC-MATTER AND COPPER ORGANIC-COMPLEXES FROM ESTUARINE WATERS USING REVERSE-PHASE LIQUID-CHROMATOGRAPHY	MARINE CHEMISTRY																													0304-4203						1981	10	2					93	102		10.1016/0304-4203(81)90025-6						WOS:A1981KZ70700002		
J	EPPLEY, RW; HORRIGAN, SG; FUHRMAN, JA; BROOKS, ER; PRICE, CC; SELLNER, K				EPPLEY, RW; HORRIGAN, SG; FUHRMAN, JA; BROOKS, ER; PRICE, CC; SELLNER, K			ORIGINS OF DISSOLVED ORGANIC-MATTER IN SOUTHERN-CALIFORNIA COASTAL WATERS - EXPERIMENTS ON THE ROLE OF ZOOPLANKTON	MARINE ECOLOGY PROGRESS SERIES																Fuhrman, Jed/C-6461-2013													0171-8630						1981	6	2					149	159		10.3354/meps006149						WOS:A1981MK86200004		
