PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	LOGAN, BE; QING, J				LOGAN, BE; QING, J			MOLECULAR-SIZE DISTRIBUTIONS OF DISSOLVED ORGANIC-MATTER	JOURNAL OF ENVIRONMENTAL ENGINEERING-ASCE																Logan, Bruce/E-7063-2012	Logan, Bruce/0000-0001-7478-8070												0733-9372					NOV-DEC	1990	116	6					1046	1062		10.1061/(ASCE)0733-9372(1990)116:6(1046)						WOS:A1990EK43400003		
J	HEIKKINEN, K				HEIKKINEN, K			NATURE OF DISSOLVED ORGANIC-MATTER IN THE DRAINAGE-BASIN OF A BOREAL HUMIC RIVER IN NORTHERN FINLAND	JOURNAL OF ENVIRONMENTAL QUALITY																													0047-2425					OCT-DEC	1990	19	4					649	657								WOS:A1990EK01900004		
J	FREEMAN, C; LOCK, MA; MARXSEN, J; JONES, SE				FREEMAN, C; LOCK, MA; MARXSEN, J; JONES, SE			INHIBITORY EFFECTS OF HIGH-MOLECULAR-WEIGHT DISSOLVED ORGANIC-MATTER UPON METABOLIC PROCESSES IN BIOFILMS FROM CONTRASTING RIVERS AND STREAMS	FRESHWATER BIOLOGY																Marxsen, Juergen/D-9628-2011	Marxsen, Juergen/0000-0003-3954-0998												0046-5070					AUG	1990	24	1					159	166		10.1111/j.1365-2427.1990.tb00315.x						WOS:A1990DU67500013		
J	LEE, DY; FARMER, WJ; AOCHI, Y				LEE, DY; FARMER, WJ; AOCHI, Y			SORPTION OF NAPROPAMIDE ON CLAY AND SOIL IN THE PRESENCE OF DISSOLVED ORGANIC-MATTER	JOURNAL OF ENVIRONMENTAL QUALITY																													0047-2425					JUL-SEP	1990	19	3					567	573								WOS:A1990DU44900034		
J	KARABASHEV, GS; KHANAEV, SA				KARABASHEV, GS; KHANAEV, SA			ON THE SYNOPTIC VARIABILITY OF THE FLUORESCENCE OF CHLOROPHYLL AND DISSOLVED ORGANIC-MATTER IN UPWELLING AREA OFF NORTH-WESTERN AFRICA	OKEANOLOGIYA																													0030-1574					JUL-AUG	1990	30	4					550	553								WOS:A1990DW76000004		
J	SERKIZ, SM; PERDUE, EM				SERKIZ, SM; PERDUE, EM			ISOLATION OF DISSOLVED ORGANIC-MATTER FROM THE SUWANNEE RIVER USING REVERSE-OSMOSIS	WATER RESEARCH																													0043-1354					JUL	1990	24	7					911	916		10.1016/0043-1354(90)90142-S						WOS:A1990DW58000013		
J	HANSEN, AM; LECKIE, JO; MANDELLI, EF; ALTMANN, RS				HANSEN, AM; LECKIE, JO; MANDELLI, EF; ALTMANN, RS			STUDY OF COPPER(II) ASSOCIATION WITH DISSOLVED ORGANIC-MATTER IN SURFACE WATERS OF 3 MEXICAN COASTAL LAGOONS	ENVIRONMENTAL SCIENCE & TECHNOLOGY																													0013-936X					MAY	1990	24	5					683	688		10.1021/es00075a011						WOS:A1990DB21900018		
J	DESOUZASIERRA, MM; EWALD, M; DONARD, OFX				DESOUZASIERRA, MM; EWALD, M; DONARD, OFX			VARIATION OF FLUORESCENCE EMISSION-SPECTRA AND COMPLEXING CAPACITY OF DISSOLVED ORGANIC-MATTER UNDER SIMULATED ESTUARINE CONDITIONS	ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY																													0065-7727					APR 22	1990	199		1				12	ENVR								WOS:A1990CZ78301533		
J	CUNNINGHAM, KM; GOLDBERG, MC				CUNNINGHAM, KM; GOLDBERG, MC			A PERSPECTIVE ON ABIOTIC, PHOTOCHEMICAL-REACTIONS OF DISSOLVED ORGANIC-MATTER IN AQUATIC SYSTEMS	ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY																													0065-7727					APR 22	1990	199		1				18	ENVR								WOS:A1990CZ78301539		
J	DUNNIVANT, FM; JARDINE, PM; TAYLOR, DT; MCCARTHY, JF				DUNNIVANT, FM; JARDINE, PM; TAYLOR, DT; MCCARTHY, JF			TRANSPORT OF DISSOLVED ORGANIC-MATTER AND POLYCHLORINATED-BIPHENYLS IN SOIL COLUMNS	ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY																													0065-7727					APR 22	1990	199		1				134	ENVR								WOS:A1990CZ78301648		
