lakeid,lakename,year4,daynum,sampledate,rep,station,depth,wtemp,o2,cond,alk,chlor,phaeo,ph,doc,dic,totnuf,totpuf,suva,flag_wtemp,flag_o2,flag_o2sat,flag_cond,flag_alk,flag_chlor,flag_phaeo,flag_ph,flag_doc,flag_dic,flag_totnuf,flag_totpuf,flag_suva
"LJ","Little John Lake",2002,178,2002-06-27,1,11,2.00,22.58,9.46,,,,,,,,,,,,,,,,,,,,,,,
"LJ","Little John Lake",2002,178,2002-06-27,1,11,3.00,21.40,9.23,,,,,,,,,,,,,,,,,,,,,,,
"LJ","Little John Lake",2002,178,2002-06-27,1,11,5.00,19.01,0.33,,,,,,,,,,,,,,,,,,,,,,,
"LO","Lost Lake",2002,172,2002-06-21,2,11,0.50,,,75.00,,7.39,0.42,8.01,4.03,7.97,293,14,,,,,,,,,,,,,,
"LO","Lost Lake",2002,172,2002-06-21,1,11,1.00,20.16,9.03,,,,,,,,,,,,,,,,,,,,,,,
"LO","Lost Lake",2002,172,2002-06-21,1,11,2.00,19.84,8.92,,,,,,,,,,,,,,,,,,,,,,,
"LO","Lost Lake",2002,172,2002-06-21,1,11,3.00,19.75,8.49,,,,,,,,,,,,,,,,,,,,,,,
"LO","Lost Lake",2002,172,2002-06-21,1,11,4.00,19.58,8.24,,,,,,,,,,,,,,,,,,,,,,,
"LO","Lost Lake",2002,172,2002-06-21,1,11,5.00,18.45,2.84,,,,,,,,,,,,,,,,,,,,,,,
"LN","Little Rock Lake - North",2002,151,2002-05-31,2,11,0.50,,,,,4.64,1.38,,4.27,0.65,,,,,,,,,,,,,,,,
"LR","Little Rock Lake - South",2002,151,2002-05-31,1,11,0.50,,,,,2.39,1.17,,3.50,0.60,,,136.450,,,,,,,,,,,,,
"LR","Little Rock Lake - South",2002,151,2002-05-31,2,11,0.50,,,,,2.38,1.12,,3.44,0.58,,,,,,,,,,,,,,,,
"LS","Little Star Lake",2002,151,2002-05-31,1,11,0.50,,,,,2.27,-0.54,,3.34,9.73,,,106.350,,,,,,,,,,,,,
"LS","Little Star Lake",2002,151,2002-05-31,2,11,0.50,,,,,1.73,0.44,,3.18,9.81,,,,,,,,,,,,,,,,
"LD","Little Spider Lake",2002,143,2002-05-23,1,11,0.50,,,,,3.17,1.41,,3.46,8.72,,,117.200,,,,,,,,,,,,,
"LD","Little Spider Lake",2002,143,2002-05-23,2,11,0.50,,,,,3.57,1.57,,3.38,8.99,,,,,,,,,,,,,,,,
"LX","Lynx Lake",2002,149,2002-05-29,1,11,0.50,,,,,1.46,1.02,,5.94,1.34,,,179.010,,,,,,,,,,,,,
"LX","Lynx Lake",2002,149,2002-05-29,2,11,0.50,,,,,1.30,0.75,,6.15,1.39,,,,,,,,,,,,,,,,
"MN","Moon Lake",2002,179,2002-06-28,1,11,0.50,,,21.00,104.95,3.75,1.52,8.84,4.84,1.70,419,7,91.410,,,,,,,,,,,,,
"MN","Moon Lake",2002,179,2002-06-28,1,11,3.00,20.44,10.11,,,,,,,,,,,,,,,,,,,,,,,
"MN","Moon Lake",2002,179,2002-06-28,1,11,5.00,14.78,12.33,,,,,,,,,,,,,,,,,,,,,,,
"MN","Moon Lake",2002,179,2002-06-28,1,11,7.00,11.66,9.06,,,,,,,,,,,,,,,,,,,,,,,
"NE","Nebish Lake",2002,175,2002-06-24,1,11,0.50,,,15.00,100.77,,,7.12,4.51,1.49,314,3,56.820,,,,,,,,,,,,,
"NE","Nebish Lake",2002,175,2002-06-24,1,11,2.00,21.00,9.24,,,,,,,,,,,,,,,,,,,,,,,
"NE","Nebish Lake",2002,175,2002-06-24,1,11,3.00,20.42,9.45,,,,,,,,,,,,,,,,,,,,,,,
"NE","Nebish Lake",2002,175,2002-06-24,1,11,4.00,19.24,9.75,,,,,,,,,,,,,,,,,,,,,,,
"NE","Nebish Lake",2002,175,2002-06-24,1,11,5.00,17.11,11.39,,,,,,,,,,,,,,,,,,,,,,,
"NE","Nebish Lake",2002,175,2002-06-24,1,11,6.00,14.50,11.62,,,,,,,,,,,,,,,,,,,,,,,
"NE","Nebish Lake",2002,175,2002-06-24,1,11,7.00,12.80,11.42,,,,,,,,,,,,,,,,,,,,,,,
"NE","Nebish Lake",2002,175,2002-06-24,1,11,8.00,12.02,10.77,,,,,,,,,,,,,,,,,,,,,,,
"NE","Nebish Lake",2002,177,2002-06-26,1,11,0.50,,,,,0.97,0.95,,,,,,,,,,,,,,,,,,,
"PA","Palmer Lake",2002,150,2002-05-30,1,11,0.50,,,,,4.75,1.71,,4.94,1.82,,,44.320,,,,,,,,,,,,,
"PA","Palmer Lake",2002,150,2002-05-30,2,11,0.50,,,,,5.09,1.71,,5.21,1.86,,,,,,,,,,,,,,,,
"BG","Big Lake",2001,172,2001-06-21,1,11,0.00,19.40,9.16,,,,,,,,304,10,,,,,,,,,,,,,,
"BG","Big Lake",2001,172,2001-06-21,1,11,1.00,19.60,9.06,,,,,,,,,,,,,,,,,,,,,,,
"BG","Big Lake",2001,172,2001-06-21,1,11,2.00,19.60,9.00,,,,,,,,,,,,,,,,,,,,,,,
"BG","Big Lake",2001,172,2001-06-21,1,11,3.00,19.60,8.94,,,,,,,,,,,,,,,,,,,,,,,
"BG","Big Lake",2001,172,2001-06-21,1,11,5.00,16.80,7.49,,,,,,,,,,,,,,,,,,,,,,,
